,Questions,Answers
23,የገቢዎች ሚኒስቴር አቶ ላቀ አያሌው ለመሰብሰብ ከታቀደው  ግብር በመቶኛ ምን ያህል እንደተሰበሰበ ገለጹ?,100 ነጥብ 5 በመቶ
24,የገቢዎች ሚኒስቴር ሚንስትር ማናቸው?,አቶ ላቀ አያሌው
25,በአማራ ክልል ሰሜን ሸዋ ዞን እንሳሮ ወረዳ የለሚ ናሽናል ሲሚንቶ የፋብሪካው ግንባታ በምን ያህል ወጪ ነው የሚገነባው? ,በ2 ነጥብ 2 ቢሊየን ዶላር
26,የለሚ ናሽናል ፋብሪካ ግንባታ የምን እጥረትን ሊቀርፍ ይችላል?,የሲሚንቶ እጥረት
27,የለሚ ናሽናል ሲሚንቶ ፋብሪካ ለመገንባት የመሠረት ድንጋይ የት ነው የተቀመጠው?,በአማራ ክልል ሰሜን ሸዋ ዞን እንሳሮ ወረዳ
28,የትኛው የሆሊውዱ የፊልም ኩባንያ ነው የቦክስ ኦፊስን የደረጃ ሰንጠረዥ በሰው ሰራሽ ሊያስገምት የፈለገው?,ዋርነር ብሮስ
29,የሆሊውዱ የፊልም ኩባንያ ዋርነር ብሮስ በሰው ሰራሽ መሳሪያ (አርቴፊሻል ኢንተሌጀንስ) ለማስገመት ያሰበው ምንን ነው?,የቦክስ ኦፊስን የደረጃ ሰንጠረዥ
30,ዋርነር ብሮስ በአርቴፊሻል ኢንተሌጀንስ መሰረት ያደረገ የቦክስ ኦፊስን ደረጃ ሰንጠረዥ መገመቻ መሳሪያ ለማሰራት የተዋዋለው ከማን ጋር ነው?,ከኤልኤ ስታርት አፕ ሲኔለይቲክ
31,የተ.መ.ድ አካል ዩኤን ኤድስ ዋና ሥራ አስፈፃሚ ማን ነው?,ዊኒ ቢያንዩማን
32,ፕሬዝደንት ሳህለወርቅ ዘውዴና የዩኤን ኤድስ ዋና ስራ አስፈጻሚ የተመካከሩት በምን ዙሪያ ነው?,በኢትዮጵያ የቫይረሱን ስርጭት ለመከላከል በተያዙ ዕቅዶች ላይ
33,የተ.መ.ድ አካል ዩኤን ኤድስ በምን ላይ ትኩረት አድርጎ ይሠራል?,በኤች.አይ.ቪ ኤድስ ላይ
34,የዩኤን ኤድስ ዋና ስራ አስፈጻሚ በኢትዮጵያ የኤች.አይ.ቪ ኤድስ ስርጭት የሚገታበትን ሁኔታ ከማን ጋር ተመካከሩ?,ፕሬዝዳንት ሣህለወርቅ ዘውዴ
35,የመደመር መጽሀፍ ዋጋ ስንት ነው?,350 ብር
36,የመደመር መጽሐፍ ጸሐፊ ማነው? ,ጠቅላይ ሚኒስትር ዐቢይ አሕመድ
37,የመደመር መንገድ መጽሐፍ ስንት ዓላማዎች አሉት?,ሁለት
38,የኡጋንዳ ፕሬዝደንት ማን ናቸው?,ዮዌሪ ካጉታ ሙሴቪኒ
39,ፕሬዚዳንት ዩዌሪ ሙሴቪኔ ጥር ወር ላይ የተካሄደውን ፕሬዚዳንታዊ ምርጫ ያሸነፉት ለስንተኛ ጊዜ ነው?,ለ6ኛ ዙር
40,ለ6ኛ ዙር ኡጋንዳን ለመምራት ዛሬ ቃለመሀላ የፈፀሙት ማናቸው?,ዮዌሪ ሙሴቬኒ
41,ፕሬዚዳንት ሳህለወርቅ ዘውዴ ኡጋንዳ የተገኙበት ምክንያት ምንድንነው?,በፕሬዝዳንት ዮዌሪ ካጉታ ሙሴቪኒ በዓለ ሲመት ላይ ለመገኘት
42,ፕሬዚዳንት ሳህለወርቅ ዘውዴ የዩዌሪ ሙሴቬኒ በዓለ ሲመት ለመገኘት የት ሀገር ሄዱ?,ኡጋንዳ
43,የአዲስ አበባ ከተማ ምክትል ከንቲባ ማናቸው?,ወ/ሮ አዳነች አቤቤ
44,በስንተኛው የየካቲት 12 ሰማዕታት መታሰቢያ በዓል ላይ ነው የአዲስ አበባ ምክትል ከንቲባ የተገኙት?,በ84ኛው
45,በአዲስ አበባ ለ84ኛ ጊዜ የተከበረው የመቼ ሰማዕታት መታሰቢያ ነው?,የየካቲት 12
46,በአዲስ አበባ የየካቲት 12 ሰማዕታት መታሰቢያ ቀን በየት ቦታ ይዘከራል?,በስድስት ኪሎ
47,የአባት አርበኞች ማህበር ፕሬዚዳንት ማን ይባላሉ?,ልጅ ዳንኤል ጆቴ መስፍን
48,ልጅ ዳንኤል ጆቴ መስፍን አባት አርበኞች ማህበር ውስጥ በምን ኃላፊነት ላይ ይገኛሉ?,ፕሬዚዳንት 
49,ማንኮራፋት የሚያመጣው ጉዳት ምንድን ነው?,በቂ የሆነ እንቅልፍ ከመከልከሉ በተጨማሪ በአካባቢው የሚገኙትን ሰዎች በመረበሽ
50,የማንኮራፋት ችግር ከ50 ዓመት በላይ በሆኑ ወንዶች ላይ በምን ያህል በመቶ ይታያል?,ከ60 እሰከ 80 በመቶ
51,ለሚያንኮራፉ ሰዎች መፍትሄ ይሆናል የተባለው አዲሱ ቴክኖሎጂ በሰውነታችን የትኛው አካል ላይ ይደረጋል?,በአፍንጫ 
52,በኢትዮጵያዊው ወጣት የተሰራው ተሽክርካሪ በሊትር ስንት ኪሎ ሜትር መጓዝ ይችላል?,40 ኪሎ ሜትር
53,በኢትዮጵያዊው ወጣት የተሰራው ተሽከርካሪ ስንት ሰው መጫን ይችላል?,4 ሰዎች
54,በኢትዮጵያዊው ወጣት የተሰራው ተሽከርካሪ ምን ያህል ክበደት አለው?,አራት ኩንታል
55,በወላይታ ዞን አረካ ከተማ ውስጥ በሊትር 40 ኪ.ሜ መጓዝ የምትችል መኪና የሰራው ወጣት ስሙ ማን ይባላል?,አጃዬ ማጆር
56,አጃዬ ማጆር በትምህርት ደረጃው ስንተኛ ነው?,የ11ኛ ክፍል ተማሪ
57,የናሳ ተመራማሪዎች ሱፐርኧርዝ ብለው የሰሟት አንዲት ፕላኔት ከመሬት አንፃር መጠንዋ ምን ያህል ይሆናል?,የመሬትን እጥፍ
58,የናሳ ተመራማሪዎች ያገኝዋትን አዲስ ፕላኔት ምን ብለው ሰየምዋት?,ሱፐር ኧርዝ
59,የየት ተመራማሪዎች ሱፐር ኧርዝ የተሰኘች አዲስ ፕላኔት አገኙ?,የናሳ
60,በመረጃ መንታፊዎች የተያዘባቸዉን መረጃ ለማስለቀቀ የራንስም ክፍያ የከፈሉት ስንት በመቶ የሚሆኑ ዓለም አቀፍ ድርጅቶች ናቸው?,80 ከመቶ
61,የምን ክፍያ መፈጸም ነው የመረጃ መንታፊዎች የበለጠ ተደጋጋሚ ጉዳት እንዲያስከትሉ የሚያደርገው?,የራንሰም 
62,ሴት ተማሪዎች በትርፍ ጊዜያቸው ምን ዓይነት የስልጠና ድጋፍ እንዲያገኙ ነው የሳይንስ እና ከፍተኛ ትምህርት ሚኒስቴር ስምምነት ያደረገው?,ችግር ፈቺ የሞባይል አፕሊኬሽን እና ኮዲንግ ስልጠናዎችን
63,ሴት ተማሪዎች በትርፍ ጊዜያቸው ችግር ፈቺ የሞባይል አፕሊኬሽን እና ኮዲንግ ስልጠናዎችን እንዲያገኙ የሚያግዝ ስምምነት የተፈረመው ለምን ዓላማ ነው?,በሳይንስ ዘርፍ የሚመረቁ ሴት ተማሪዎችን ቁጥር ከፍ የማድረግ ዓላማ
64,በኡበር የታክሲ አገልግሎት ውስጥ ለረጅም ጊዜ በቦርድ አባልነት ያገለገሉት ትራቪስ ካላኒክ መቼ በተስተዋለው የሙስና ችግር ምክንያት ነው ከኃላፊነታቸው ለመልቀቅ ያሰቡት?,ከጎግል አንድርይድ ኦፕሬቲንግ ሲስተም እና ከአይፎን አይ.ኦ.ኤስ ኦፕሬቲንግ ሲስተም ላይ ያለውን ጥገኝነት ለመቀነስ
65,ፌስቡክ ከጎግል አንድርይድ ኦፕሬቲንግ ሲስተም እና ከአይፎን አይ.ኦ.ኤስ ኦፕሬቲንግ ሲስተም ላይ ያለውን ጥገኝነት ለመቀነስ ምን ዘዴ ቀየሰ?,የራሱን ኦፕሬቲንግ ሲስተም እያበለፀገ
66,ፌስቡክ በአዲሱ የራሱ የኦፕሬቲንግ ሲስተም ላይ ምን ምን አካቷል?,የቪዲዮ የስልክ ጥሪን
67,ኡበር በተሰኘው የታክሲ አገልግሎት ሰጪ ድርጅት ውስጥ የቦርድ አባል የነበሩ አሁን ሊለቁ የወሰኑት የቦርድ አባል ስማቸው ማን ነው?,ትራቪስ ካላኒክ
68,በኡበር የታክሲ አገልግሎት ውስጥ ለረጅም ጊዜ በቦርድ አባልነት ያገለገሉት ትራቪስ ካላኒክ በምን ምክንያት ነው ከቦርድ አባልነታቸው የሚለቁት?,የሙስና ቅሌቶች \xa0ምክንያት
69,በኡበር የታክሲ አገልግሎት ውስጥ ለረጅም ጊዜ በቦርድ አባልነት ያገለገሉት ትራቪስ ካላኒክ መቼ በተስተዋለው የሙስና ችግር ምክንያት ነው ከኃላፊነታቸው ለመልቀቅ ያሰቡት?,2017 
70,የቻይና የስነ ፈለክ ተመራማሪዎች ለመጀመሪያ ጊዜ ያገኟት ፕላኔት ስሟ ማነው?,“ወንግሹ” እና “ዢሂ” 
71,የቻይና ስነ ፈለክ ተመራማሪዎች ለመጀመሪያ ጊዜ ከፀሀይ ስርዓት ውጪ የሆች ኤክሶፕላኔት የተሰጣት ስያሜ ምን ትርጉም አለው?,የጨረቃ አምላክ ወይም የጸሃይ አምላክ
72,የቻይና ስነ ፈለክ ተመራማሪዎች ያገኟት ኤክሶፕላኔት መጠን ከጁፒተር ምን ያህል ይበልጣል?,በ2 ነጥብ 7 እጥፍ
73,የባህልና ቱሪዝም ሚኒስቴር ሚኒስትር ማን ናቸው?,ሂሩት ካሳው
74,በቤኒሻንጉል ጉምዝ ክልል ስንተኛውን የአድዋ ድል በዓል ሂሩት ካሳው ተገኝተው አከበሩወ?,125ኛውን
75,125ኛው የአድዋ ድል የት ነው የሚከበረው?,በቤኒሻንጉል ጉሙዝ ክልል
76,የቤንሻንጉል ጉምዝ ክልል ርዕሰ መስተዳድር ማነው?,አቶ አሻድሌ ሀሰን
77,ወ/ሮ ሠናይት የምን ሙያ ባለቤት ነች?,የጤና ኤክስቴንሽን ባለሞያ
78,በ2013 ዓ.ም በኢትዮጵያ በሀገር አቀፍ ደረጃ ደረጃ ሞዴል የጤና ኤክስቴንሽን ባለሙያ ተብላ የተመረጠችው ማናት?,ወ/ሮ ሰናይት
79,በሀገር አቀፍ ደረጃ ሞዴል የጤና ኤክስቴንሽን ባለሙያ የሆነችው ወ/ሮ ሠናይት ስንት የጤና ኤክስቴንሽን ባለሙያዎችን ወክላ ነው በአፍሪካ የጤና ኮንፈረንስ ላይ የተቀበለችው?,"40,000"
80,ኢትዮጵያ በመሠረታዊ የጤና አገልግሎት ተደራሽነት ላይ ላስመዘገበችው ውጤት ምን ተጠቅማለች?,ሩዋንዳ በተዘጋጀው የአፍሪካ የጤና ኮንፍራስ ላይ እውቅናን አግኝታለች
81,ኢትዮጵያ በመሠረታዊ የጤና አገልግሎት ተደራሽነት ላይ ላስመዘገበችው ውጤት የት ሀገር ነው እውቅና የተሰጣት?,ሩዋንዳ
82,ኢትዮጵያ ሩዋንዳ በተዘጋጀው የአፍሪካ የጤና ኮንፈረንስ ላይ እውቅና ያገኘችው በምን ምክንያት ነው?,በመሰረታዊ የጤና አገልግሎት ተደራሽነት ላይ ላስመዘገበችው ውጤት
83,የኢትዮጵያ ሳይንስ አካዳሚ ፕሬዚዳንት ማን ይባላሉ?,ፕሮፌሰር ጽጌ ገብረ ማርያም
84,ፕሮፌሰር ጽጌ ገብረ ማርያም ያሉበት ኃላፊነት ምንድን ነው?,የኢትዮጵያ ሳይንስ አካዳሚ ፕሬዝዳንት
85,የሳይንስ እና ከፍተኛ ትምህርት ሚኒስቴር ማን ይባላሉ?,ፕሮፌሰር ሂሩት ወልደማርያም
86,የኢትዮጵያ ልብ ህክምና ማዕከል 30ኛ ዓመት ክብረ በዓል ላይ በዶ/ር ዓብይ ሽልማት የተሰጣቸው ዶክተር ማናቸው?,ዶክተር በላይ አበጋዝ
87,ዶ/ር በላይ አበጋዝ በኢትዮጵያ ልብ ህክምና ማዕከል ላደረጉት አስተዋጽኦ በዶ/ር አብይ አህመድ የተሸለሙት ማዕከሉ ስንተኛ ዓመቱን ሲያከብር ነበር?,30ኛ
88,በኢትዮጵያ ልብ ህክምና ማዕከል 30ኛ ዓመት ክብረ በዓል ላይ ዶ/ር አብይ አህመድ ዶ/ር በላይ አበጋዝን በምን ዘርፍ ላበረከቱት አስተዋጽኦ ነው የሸለሟቸው?,በህፃናት ልብ ህክምን
89,ዶ/ር በላይ አበጋዝ በህፃናት ልብ ህክምና ላበረከቱት አስተዋፅኦ በማዕከሉ 30ኛ ዓመት ክብረ በዓል ላይ ማን ሸለማቸው?,ዶክተር ዐቢይ አሕመድ
90,የደቡብ ሱዳንን መከላከያ ጠቅላይ ኤታማዦር ማን ናቸው?,ጀኔራል ጆንሰን ጁማ ኡኮት
91,የደቡብ ሱዳን ጠቅላይ ኤታማዦር ለምን ኢትዮጵያ መጡ?,በሁለቱ ሀገራት የመከላከያ ጉዳዮች ዙሪያ እንደሚመክሩ
92,ጄኔራል ጆንሰን ጁማ ኦኮት በየት ሀገር ጠቅላይ ኤታማዦር ሹም ናቸው?,በደቡብ ሱዳን
93,የኢትዮጵያ መከላከያ ሠራዊት ጠቅላይ ኤታማዦር ሹም ማናቸው?,ጀኔራል ብርሀኑ ጁላ
94,ጄነራል ብርሃኑ ጁላ በኢትዮጵያ መከላከያ ሠራዊት ውስጥ ኃላፊነታቸው ምንድን ነው?,ጠቅላይ ኤታማዦር ሹም
95,በሥነ ጽሑፍ ዘርፍ በ1986 አፍሪካዊ የኖቤል ተሸላሚ ማን ነበሩ?,ዎሌ ሾይንካ
96,ዎሌ ሾይንካ የሥነ ጽሑፍ ኖቤል ተሸላሚ የነበሩት መቼ ነበር?,በ1986 
97,ደራሲ አብዱልራዛቅ በ2021 የሥነ ጽሑፍ ኖቤል የሚሸልማቸው ድርጅት ምን ይባላል?,የስዊድን አካዴሚ
98,የ2021 የሥነ ጽሑፍ ኖቤል ተሸላሚ ማናቸው?,ደራሲ አብዱልራዛቅ ጉራህ
99,ደራሲ አብዱልራዛቅ የኖቤል የሥነ ጽሑፍ ተሸላሚ የሆኑት በመቼ ዓመተ ምሕረት ነው?,የ2021
100,ደራሲ አብዱልራዛቅ በ2021 የሥነ ጽሑፍ ኖቤል ተሸላሚነታቸው የታወቀው መቼ ነበር?,መስከረም 27 ቀን 2013 ዓ.ም.
101,ደራሲ አብዱልራዛቅ በ2021 የሥነ ጽሑፍ ኖቤል ሽልማት በማሸነፋቸው ምን ያህል ገንዘብ ያገኛሉ?,10 ሚሊዮን ክራውን ወይም 1.14 ሚሊዮን ዶላር
102,ደራሲ አብዱልራዛቅ የኖቤል የሥነ ጽሑፍ ተሸላሚ ከመሆናቸው ከ35 ዓመት በፊት ይህንን ሽልማት ያገኙት አፍሪካዊ ማን ነበሩ?,ዎሌ ሾይንካ
103,ደራሲ አብዱልራዛቅ የኖቤል የሥነ ጽሑፍ ተሸላሚ ከመሆናቸው ከ35 ዓመት በፊት ይህንን ሽልማት ያገኙት አፍሪካዊ ማን ነበሩ?,ዎሌ ሾይንካ
104,አብዱልራዛቅ ጉራህ በአፍሪካ የኖቤል የሥነ ጽሑፍ ሽልማት ያገኙት ከማን ቀጥለው ነው?,ዎሌ ሾይንካ
105,አብዱልራዛቅ ጉራህ በአፍሪካ በኖቤል የሥነ ጽሑፍ ተሸላሚ ሲሆኑ ስንተኛው ሰው ናቸው?,ሁለተኛው
106,በስዊድኑ አካዴሚ የ2021 የኖቤል የሥነ ጽሑፍ አሸናፊ የሆኑት ጸሐፊ ዜግነታቸው ምንድን ነው?,ታንዛኒያዊው
107,ደራሲ አብዱልራዛቅ ጉራህ የ2021 ኖቤል ተሸላሚ የሆኑት በምን ዘርፍ ነው?,በሥነ ጽሑፍ
108,ደራሲ አብዱልራዛቅ ጉራህ የስንት ዓመት ሰው ናቸው?,የ73
109,ደራሲ አብዱልራዛቅ ጉራህ ለአንባብያን ስንት መጻሕፍት   አበርክተዋል?,የ10
110,ደራሲ አብዱልራዛቅ ጉራህ ከአፍሪካ ስንተኛ የኖቤል ሽልማት ያገኙ ግለሰብ ናቸው?,ስድስተኛ
111,ደራሲ አብዱልራዛቅ ጉራህ ስለሚያገኙት የሽልማት ገንዘብ መጠን የገለጸው የመገናኛ ተቋም ማነው?,ቢቢሲ
112,የመጀመሪያው ያለ አሽከርካሪ የሚሰራ የእቃ ማመላለሽ ተሽከርካሪ ሙከራ እንዲያገኝ በየት ሀገር ፍቃድ አገኘ?,በአሜሪካ 
113,የመጀመሪያው ያለ አሽከርካሪ የሚሰራ የእቃ ማመላለሽ ተሽከርካሪ በማን ኩባንያ ተሰራ?,ኑሮ በተባለው ኩባንያ
114,የመጀመሪያው ያለ አሽከርካሪ የሚሰራ የእቃ ማመላለሽ ተሽከርካሪ በአሜሪካ ሀገር በየትኛው ግዛት ላይ ሙከራውን እንዲያደረግ ነው ፍቃድ የተሰጠው?,በቴክሳስ 
115,የመጀመሪያው ያለ አሽከርካሪ የሚሰራ የእቃ ማመላለሽ ተሽከርካሪ ፍቃድ የተሰጠው የተሽከርካሪው የፍጥነት መጠን በሰዓት ከስንት እንዳይዘል ነው?,ከ25 ኪሎ ሜትር
116,የመንገድ ላይ ምልክት ማድረጊያው ሮቦት ለመጀመሪያ ጊዜ በየት አገር ተሰራ?,በእንግሊዝ 
117,የመንገድ ላይ ምልክት ማድረጊያው ሮቦት የሙከራ ስራውን ባደረገበት ወቅት በሰዓት ምን ያህል ኪሎ ሜትሮችን ሰራ?,በአራት ሰዓት በ12 ነጥብ 4 ኪሎ ሜትር
118,የመንገድ ላይ ምልክት ማድረጊያው ሮቦት የሚያስገኛቸው ጥቅሞች ምን ምን ናቸው?,ሰራተኞች ያጋጥማቸው የነበረውን ድካም፣ የሚደርሰውን የወገብ ጉዳት እና ምልክት በሚያደርጉበት ወቅት የሚከሰተውን የመኪና አደጋ ይቀንሳል
119,እየተዛመተ የመጣውን ኮሮና ቫይረስ አስመልክቶ የሚወጡ የሐሰት ፈውሶችን እና የተሳሳቱ መረጃዎችን ከገጾቻቸው ላይ እንደሚያጠፉ ያሳወቁት ድርጅቶች ማን ማን ናቸው?,ፌስቡክ ፣ ጉግል እና ትዊተር
120,ጎግል ስለኮሮና ቫይረስ መረጃዎችን ለማቅረብ ወደ ስራ ያስገባው ማንቂያ ማን ይባላል?,የኤስ ኦ ኤስ
121,ስለኮሮና ቫይረስ መረጃዎችን ለማቅረብ የኤስ ኦ ኤስ ማንቂያን ወደ ስራ ያስገባው ድርጅት ማን ይባላል?,ጎግል 
122,ኤስ ኦ ኤስ ማንቂያ ምን ዓይነት ችግሮች በሚፈጠሩበት ወቅት ስራ ላይ የሚውል ማንቂያ ነው?,ተፈጥሯዊ እና ሰው ሰራሽ ችግሮች
123,ጉግል ለቻይና ቀይ መስቀል ምን ያህል ዶላር ድጋፍ አደረገ?,የ250 ሺህ
124,ጉግል ከኮሮና ቫይረስ ለመከላከል በተደረገ ዘመቻ ምን ያህል ዶላር አሰባሰበ?,ከ800 ሺህ ዶላር በላይ
125,ፌስቡክ የሰዎችን የፊት ገጽታ መለያዎች መሣሪያን መጠቀም የጀመረው መቼ ነው?,በፈረንጆቹ 2010
126,ፌስቡክ የሰዎችን የፊት ገጽታ መለያ መሣሪያ በመጠቀም ምን ዓይነት ጥቅም አግኝቷል?,ስለ ደንበኛው ማንነት
127,ፌስቡክ የሰዎችን ምስል ለማጣራት እና ለመለየት የሚጠቀምበት መሳሪያ ምክንያት በነበረው የህግ ክርክር ስንት እንዲከፍል ተወሰነበት?,550 ሚሊየን ዶላር 
128,ባለ ሁለት ሞተር እና 76 ሜትር ርዝመት እንዳለው የተገለጸው የቦይንግ አውሮፕላን ምን ተብሎ ይጠራል?,ቦይንግ 777- 9 ኤክስ
129,ቦይንግ 777- 9 ኤክስ የተሰኘው አውሮፕላን ምን ያህል ርዝመት እና ስንት ሞተር አለው?,ባለ ሁለት ሞተር እና 76 ሜትር
130,ቦይንግ 777- 9 ኤክስ የተሰኘው አውሮፕላን በምን ያህል ዋጋ እየሸጠ ይገኛል?,442 ሚሊየን ዶላር
131,ቦይንግ 737 ማክስ አውሮፕላኖቹ ላይ በተፈጠረ የቴክኒክ ችግር ምክንያት የየት ሀገር ንብረት የሆኑ አውሮፕላን ናቸው የተከሰከሱት?,የኢትዮጵያ እና ኢንዶኔዢያ
132,ንብረትነታቸው የኢትዮጵያ እና የኢንዶኔዢያ የሆኑ ሁለት አውሮፕላኖች ተከስክሰው የምን ያህል ሰዎች ሕይወት ተቀጠፈ?,የ346 ሰዎች
133,በኢትዮጵያ ካሉ የኢንተርኔት አገልግሎቶች ተጠቃሚዎች ውስጥ ስልክ ቁጥርን እንደ ይለፍ-ቃል የሚጠቀሙት ምን ያህል ፐርሰንት ናቸው?,59 ነጥብ 5 ከመቶ
134,በ2011 ዓ.ም ከተፈጸመ የሳይበር ጥቃት ውስጥ ምን ያህል ግለሰቦችን ተጎጂ አድርጓል?,1 ሺህ 635
135,የኢንፎርሜሽን መረብና ደህንነት ኤጀንሲ በ2011 ባደረገው ጥናት በመቶኛ ምን ያህል ሰዎች በማኅበራዊ ሚዲያ የሚለቀቁ መረጃዎች እውነት እንደሆኑ ያመናሉ ብሏል?,67 ነጥብ 6 ከመቶ
136,በአይቮሪኮስት ከፍተኛ የመማሪያ ክፍል እጥረት እንዳለ ይነገራል ይህን እጥረት ለመቀነስ መንግስት ትምህርት ቤቶችን በምን እየገነባ ይገኛል?,የተጣሉ የፕላስቲክ ውጤቶችን 
137,በአይቬሪኮስት ከፍተኛ የመማሪያ ክፍል እጥረት በመኖሩ ምክንያት ምን ያህል ህጻናት ወደ ትምህርት ቤት አይሄዱም?,1 ነጥብ 6 ሚሊየን
138,በአይቮሪኮስት የፕላስቲክ ውጤቶችን በመጠቀም የመማሪያ ክፍሎችን መስራት የጀመረው የምን ሀገር ኩባንያ ነው?,የኮሎምቢያ ኩባንያ
139,የኮሎምቢያ ኩባንያ ከተባበሩት መንግስታት የህጻናት መርጃ ድርጅት (ዩኒሴፍ) ጋር በመተባበር የተጣሉ የፕላስቲክ ውጤቶችን በመጠቀም የመማሪያ ክፍሎችን እየሰራ ያለው የት ሀገር ነው?,አይቮሪኮስት 
140,ዩኒሴፍ በአይቬሪኮስት ከኮሎምቢያው ኩባንያ ጋርበተጣሉ የፕላስቲክ ውጤቶች የመማሪያ ክፍሎችን በመገንባቱ ለምን ያህል ህጻናት እድል ይፈጥራል?,ለ25 ሺህ ህጻናት
141,አይቮሪኮሰስት ከምታስወግደው የፕላስቲክ ውጤቶች በመቶኛ ምን ያህሉን የመማሪያ ክፍሎች ለመስራት ተጠቀችበት?,5 በመቶውን
142,በአይቮሪኮሰስት ከ2018 በኋላ ባሉት ተከታታይ ሁለት ዓመታት በተጣሉ የፕላስቲክ ውጤቶች ምን ያህል ክፍሎች ለመስራት ታቅዷል?,528 
143,በአይቮሪኮሰስት በ2018 በተጣሉ የፕላስቲክ ውጤቶች ምን ያህል ክፍሎች ተሰሩ?,26 
144,አሜሪካ ለቻይና ድርጅቶች እንዳይሸጡ የከለከለቻቸው ምርቶች ምን ምን ናቸው?,የቴክኖሎጅ ቁሳቁሶች
145,የአሜሪካ ግምጃ ቤት ባለፈው አመት ሰኔ ወር ላይ በጥቁር መዝገብ የያዘው የቻይና ኩባንያ ስሙ ማን ነው?,ሁዋዌ 
146,አሜሪካ የቻይና የቴክኖሎጅ ኩባንያዎች ላይ እገዳ የጣለችው በምን ምክንያት ነው?,የሃገሪቱን ደህንነት ስጋት ላይ ይጥላል
147,በአሜሪካ የተገደሉትን የኢራኑ ጄኔራል ቃሲም ሱለይማኒን ሃሳብ የሚደግፉ መረጃዎችን በማንሳት ላይ ያሉት ድርጅቶች ማን እና ማን ናቸው?,ኢንስታግራም እና ፌስቡክ
148,ኢንስታግራም እና ፌስቡክ የማህበራዊ ትስስር ድረ ገፅ በኢራን ጀነራል አሟሟት ጋር በተየያዘ መረጃዎቹን ከገጸቸው የሚያስወገዱት በምን ምክንያት ነው?,አሜሪካ በኢራን ላይ የጣለችውን ማዕቀብ ተከትሎ 
